Order ID,Order Date,Ship Date,Days for Shipment,Ship Mode,Customer ID,Segment,City,Region,Product ID,Category,Total Revenue,Sold Quantity,Discount,Discount Amount,Profit,Profit Margin,Cost of Goods Sold (COGS),Cost per Quantity
CA-2013-152156,2013-11-09,2013-11-12,3,Second Class,CG-12520,Consumer,Henderson,South,FUR-BO-10001798,Bookcases,$261.96,2,0%,$0.00,$41.91,16%,$220.05,$110.02
CA-2013-152156,2013-11-09,2013-11-12,3,Second Class,CG-12520,Consumer,Henderson,South,FUR-CH-10000454,Chairs,$731.94,3,0%,$0.00,$219.58,30%,$512.36,$170.79
CA-2013-138688,2013-06-13,2013-06-17,4,Second Class,DV-13045,Corporate,Los Angeles,West,OFF-LA-10000240,Labels,$14.62,2,0%,$0.00,$6.87,47%,$7.75,$3.87
US-2012-108966,2012-10-11,2012-10-18,7,Standard Class,SO-20335,Consumer,Fort Lauderdale,South,FUR-TA-10000577,Tables,$957.58,5,45%,$430.91,-$383.03,-40%,"$1,340.61",$268.12
US-2012-108966,2012-10-11,2012-10-18,7,Standard Class,SO-20335,Consumer,Fort Lauderdale,South,OFF-ST-10000760,Storage,$22.37,2,20%,$4.47,$2.52,11%,$19.85,$9.93
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,FUR-FU-10001487,Furnishings,$48.86,7,0%,$0.00,$14.17,29%,$34.69,$4.96
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,OFF-AR-10002833,Art,$7.28,4,0%,$0.00,$1.97,27%,$5.31,$1.33
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,TEC-PH-10002275,Phones,$907.15,6,20%,$181.43,$90.72,10%,$816.44,$136.07
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,OFF-BI-10003910,Binders,$18.50,3,20%,$3.70,$5.78,31%,$12.72,$4.24
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,OFF-AP-10002892,Appliances,$114.90,5,0%,$0.00,$34.47,30%,$80.43,$16.09
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,FUR-TA-10001539,Tables,"$1,706.18",9,20%,$341.24,$85.31,5%,"$1,620.87",$180.10
CA-2011-115812,2011-06-09,2011-06-14,5,Standard Class,BH-11710,Consumer,Los Angeles,West,TEC-PH-10002033,Phones,$911.42,4,20%,$182.28,$68.36,8%,$843.07,$210.77
CA-2014-114412,2014-04-16,2014-04-21,5,Standard Class,AA-10480,Consumer,Concord,South,OFF-PA-10002365,Paper,$15.55,3,20%,$3.11,$5.44,35%,$10.11,$3.37
CA-2013-161389,2013-12-06,2013-12-11,5,Standard Class,IM-15070,Consumer,Seattle,West,OFF-BI-10003656,Binders,$407.98,3,20%,$81.60,$132.59,33%,$275.38,$91.79
US-2012-118983,2012-11-22,2012-11-26,4,Standard Class,HP-14815,Home Office,Fort Worth,Central,OFF-AP-10002311,Appliances,$68.81,5,80%,$55.05,-$123.86,-180%,$192.67,$38.53
US-2012-118983,2012-11-22,2012-11-26,4,Standard Class,HP-14815,Home Office,Fort Worth,Central,OFF-BI-10000756,Binders,$2.54,3,80%,$2.04,-$3.82,-150%,$6.36,$2.12
CA-2011-105893,2011-11-11,2011-11-18,7,Standard Class,PK-19075,Consumer,Madison,Central,OFF-ST-10004186,Storage,$665.88,6,0%,$0.00,$13.32,2%,$652.56,$108.76
CA-2011-167164,2011-05-13,2011-05-15,2,Second Class,AG-10270,Consumer,West Jordan,West,OFF-ST-10000107,Storage,$55.50,2,0%,$0.00,$9.99,18%,$45.51,$22.76
CA-2011-143336,2011-08-27,2011-09-01,5,Second Class,ZD-21925,Consumer,San Francisco,West,OFF-AR-10003056,Art,$8.56,2,0%,$0.00,$2.48,29%,$6.08,$3.04
CA-2011-143336,2011-08-27,2011-09-01,5,Second Class,ZD-21925,Consumer,San Francisco,West,TEC-PH-10001949,Phones,$213.48,3,20%,$42.70,$16.01,8%,$197.47,$65.82
